"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 25 10:32:14 GMT 2025","Tue Mar 25 10:32:16 GMT 2025","1643","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testUserRegistration","Тест регистрации пользователя",""
"passed","Tue Mar 25 10:32:16 GMT 2025","Tue Mar 25 10:32:16 GMT 2025","44","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testRecordSession","Тест записи сессии [1] 2025-01-01T10:10:10, 2025-01-01T11:10:10",""
"broken","Tue Mar 25 10:32:19 GMT 2025","Tue Mar 25 10:32:19 GMT 2025","4","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserLastSessionDate","Тест получения даты последнего сеанса пользователя [1] Пустой список сеансов, Optional.empty",""
"passed","Tue Mar 25 10:32:19 GMT 2025","Tue Mar 25 10:32:19 GMT 2025","2","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserStatus","Тест получения статуса пользователя [6] 119, Active",""
"passed","Tue Mar 25 10:32:16 GMT 2025","Tue Mar 25 10:32:16 GMT 2025","16","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetWithoutParams","Тест get-запросов без параметров [3] /monthlyActivity",""
"passed","Tue Mar 25 10:32:16 GMT 2025","Tue Mar 25 10:32:16 GMT 2025","12","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetWithoutParams","Тест get-запросов без параметров [2] /inactiveUsers",""
"passed","Tue Mar 25 10:32:19 GMT 2025","Tue Mar 25 10:32:19 GMT 2025","5","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserStatus","Тест получения статуса пользователя [8] 200, Highly active",""
"passed","Tue Mar 25 10:32:16 GMT 2025","Tue Mar 25 10:32:17 GMT 2025","27","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testRecordSessionBadDateFormat","Тест записи сессии с некорректным форматом даты [2] 0, 2024-10-02T00:00:00",""
"passed","Tue Mar 25 10:32:17 GMT 2025","Tue Mar 25 10:32:17 GMT 2025","14","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetMonthlyActivityBadFormat","Тест получения месячной активности пользователя с неверным форматом аргументом [1] user123, fon",""
"passed","Tue Mar 25 10:32:19 GMT 2025","Tue Mar 25 10:32:19 GMT 2025","2","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserStatus","Тест получения статуса пользователя [3] 59, Inactive",""
"passed","Tue Mar 25 10:32:19 GMT 2025","Tue Mar 25 10:32:19 GMT 2025","2","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserLastSessionDate","Тест получения даты последнего сеанса пользователя [4] Список из двух сеансов, неупорядочены, Optional[2025-03-25]",""
"passed","Tue Mar 25 10:32:19 GMT 2025","Tue Mar 25 10:32:19 GMT 2025","2","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserStatus","Тест получения статуса пользователя [7] 120, Highly active",""
"passed","Tue Mar 25 10:32:19 GMT 2025","Tue Mar 25 10:32:19 GMT 2025","137","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserStatus","Тест получения статуса пользователя [1] 0, Inactive",""
"passed","Tue Mar 25 10:32:19 GMT 2025","Tue Mar 25 10:32:19 GMT 2025","2","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserStatus","Тест получения статуса пользователя [4] 60, Active",""
"passed","Tue Mar 25 10:32:17 GMT 2025","Tue Mar 25 10:32:17 GMT 2025","16","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetInactiveUsersBadNumberFormat","Тест получения неактивных пользователей с неверным форматом числа дней",""
"passed","Tue Mar 25 10:32:19 GMT 2025","Tue Mar 25 10:32:19 GMT 2025","4","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserLastSessionDate","Тест получения даты последнего сеанса пользователя [3] Список из двух сеансов, упорядочены, Optional[2025-03-25]",""
"passed","Tue Mar 25 10:32:16 GMT 2025","Tue Mar 25 10:32:16 GMT 2025","35","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetTotalActivity","Тест получения общего времени активности",""
"passed","Tue Mar 25 10:32:16 GMT 2025","Tue Mar 25 10:32:16 GMT 2025","18","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testPostWithoutParams","Тест post-запросов без параметров [2] /recordSession",""
"passed","Tue Mar 25 10:32:16 GMT 2025","Tue Mar 25 10:32:16 GMT 2025","30","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testRecordSessionBadDateFormat","Тест записи сессии с некорректным форматом даты [1] 2024-10-02T00:00:00, 0",""
"passed","Tue Mar 25 10:32:19 GMT 2025","Tue Mar 25 10:32:19 GMT 2025","7","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserStatus","Тест получения статуса пользователя [2] 30, Inactive",""
"passed","Tue Mar 25 10:32:19 GMT 2025","Tue Mar 25 10:32:19 GMT 2025","2","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserStatus","Тест получения статуса пользователя [5] 90, Active",""
